Bib,First Name,Last Name,Home,Note,Team,Sex,Age,Age Group,Race Name
1,JJ,WALLACE,"Orem, UT",,,M,60-69,,
2,Tyler,Allred,"Mapleton, UT",,,M,30-39,,
3,Shane,Armitage,"American Fork, UT",,,M,40-49,,
4,Taran,Bailey,"Orem, UT",,,M,30-39,,
5,Chris,Barnes,"Murphy, TX",,,M,50-59,,
6,Andrew,Barney,"American Fork, UT",,,M,50-59,,
7,JJ2,WALLACE,"Orem, UT",,,F,60-69,,
8,Tyler2,Allred,"Mapleton, UT",,,M,30-39,,
9,Shane2,Armitage,"American Fork, UT",,,,,M20-29,
10,Taran2,Bailey,"Orem, UT",,,,,,
11,Chris2,Barnes,"Murphy, TX",,,,50-59,,
12,Andrew2,Barney,"American Fork, UT",,,M,,,
